TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0.357083,0.357917,0.359375,0.358542,0.000000,-0.000000,0.000000,-1.000000
0,0.35625,0.356875,0.358125,0.3575,0.000000,-0.000000,0.000000,-1.000000
0,0.357187,0.358021,0.359271,0.358438,0.000000,-0.000000,0.000000,-1.000000
0,0.359687,0.359687,0.359687,0.359687,0.000000,-0.000000,0.000000,-1.000000
0,0.359167,0.36,0.361042,0.360208,0.000000,-0.000000,0.000000,-1.000000
0,0.359896,0.359687,0.360104,0.360312,0.000000,-0.000000,0.000000,-1.000000
0,0.358542,0.359167,0.360417,0.359792,0.000000,-0.000000,0.000000,-1.000000
0,0.354063,0.354479,0.355729,0.355312,0.000000,-0.000000,0.000000,-1.000000
0,0.35125,0.351667,0.352917,0.3525,0.000000,-0.000000,0.000000,-1.000000
0,0.350521,0.351562,0.352812,0.351771,0.000000,-0.000000,0.000000,-1.000000
0,0.349896,0.350938,0.352187,0.351146,0.000000,-0.000000,0.000000,-1.000000
0,0.350625,0.351458,0.352292,0.351458,0.000000,-0.000000,0.000000,-1.000000
0,0.348125,0.34875,0.349583,0.348958,0.000000,-0.000000,0.000000,-1.000000
0,0.345938,0.346562,0.347396,0.346771,0.000000,-0.000000,0.000000,-1.000000
0,0.349896,0.349479,0.349479,0.349896,0.000000,-0.000000,0.000000,-1.000000
0,0.350938,0.351562,0.352396,0.351771,0.000000,-0.000000,0.000000,-1.000000
0,0.3475,0.348125,0.349583,0.348958,0.000000,-0.000000,0.000000,-1.000000
0,0.347813,0.348229,0.349271,0.348854,0.000000,-0.000000,0.000000,-1.000000
0,0.346875,0.347292,0.348333,0.347917,0.000000,-0.000000,0.000000,-1.000000
0,0.346562,0.346979,0.348021,0.347604,0.000000,-0.000000,0.000000,-1.000000
0,0.347396,0.348021,0.349271,0.348646,0.000000,-0.000000,0.000000,-1.000000
0,0.346979,0.347604,0.348854,0.348229,0.000000,-0.000000,0.000000,-1.000000
0,0.345833,0.346042,0.347083,0.346875,0.000000,-0.000000,0.000000,-1.000000
0,0.348021,0.348854,0.350313,0.349479,0.000000,-0.000000,0.000000,-1.000000
0,0.347813,0.348646,0.350313,0.349479,0.000000,-0.000000,0.000000,-1.000000
0,0.35,0.351042,0.352708,0.351667,0.000000,-0.000000,0.000000,-1.000000
0,0.350521,0.351146,0.352396,0.351771,0.000000,-0.000000,0.000000,-1.000000
0,0.350938,0.352187,0.354063,0.352812,0.000000,-0.000000,0.000000,-1.000000
0,0.351667,0.3525,0.353958,0.353125,0.000000,-0.000000,0.000000,-1.000000
0,0.351875,0.353125,0.354583,0.353333,0.000000,-0.000000,0.000000,-1.000000
0,0.355521,0.356563,0.358229,0.357187,0.000000,-0.000000,0.000000,-1.000000
0,0.355938,0.356979,0.358646,0.357604,0.000000,-0.000000,0.000000,-1.000000
0,0.354792,0.355833,0.357708,0.356667,0.000000,-0.000000,0.000000,-1.000000
0,0.354687,0.355729,0.357396,0.356354,0.000000,-0.000000,0.000000,-1.000000
0,0.354792,0.356042,0.357917,0.356667,0.000000,-0.000000,0.000000,-1.000000
0,0.350521,0.351771,0.353646,0.352396,0.000000,-0.000000,0.000000,-1.000000
